story,arc
"Rick grew up in a troubled household. He never found good support in family, and turned to gangs. It wasn't long before Rick got shot in a robbery. The incident caused him to turn a new leaf. He is happy now.",neutral - sadness - realization - neutral - joy
Laverne needs to prepare something for her friend's party. She decides to bake a batch of brownies. She chooses a recipe and follows it closely. Laverne tests one of the brownies to make sure it is delicious. The brownies are so delicious Laverne eats two of them.,neutral - approval - admiration
Sarah had been dreaming of visiting Europe for years. She had finally saved enough for the trip. She landed in Spain and traveled east across the continent. She didn't like how different everything was. Sarah decided that she preferred her home over Europe.,neutral - approval - neutral
Gina was worried the cookie dough in the tube would be gross. She was very happy to find she was wrong. The cookies from the tube were as good as from scratch. Gina intended to only eat 2 cookies and save the rest. Gina liked the cookies so much she ate them all in one sitting.,disgust - joy - approval - desire - love
It was  my final performance in marching band. I was playing the snare drum in the band. We played Thriller and Radar Love. The performance was flawless. I was very proud of my performance.,excitement - neutral - admiration - pride
Jim found an old disposable camera in the bottom of his junk drawer. He began snapping away at everything around him. The counter clicked down to one final photo. The gravity of the situation began to dawn on Jim. Jim took time to decide what he would take a picture of.,neutral - realization - neutral
"Ron started his new job as a landscaper today. He loves the outdoors and has always enjoyed working in it. His boss tells him to re-sod the front yard of the mayor's home. Ron is ecstatic, but does a thorough job and finishes super early. His boss commends him for a job well done.",neutral - joy - neutral - excitement - admiration
"John and Billy became very skilled at beer pong. They entered a contest in college. They won the contest and advanced to the next level. The next level sent them to Vegas. In Vegas, John and Billy competed against eighty contestants.",neutral - admiration - neutral
"Caroline was a student in medical school. Caroline worked very hard to get good grades. One day Caroline failed a test by one point. Caroline was very frustrated but she continued to study hard. Later, she passed the test.",neutral - disappointment - sadness - anger - approval
Trish hated the outdoors. Her friends convinced her to go camping. She wasn't having a good time. They showed her how to fish and showed her the stars. Eventually Trish grudgingly came to accept nature.,annoyance - neutral - realization
Tony was happy to be going on his first cruise. He arrived at the docks and was ready with all his luggage. When he walked around the corner he couldn't believe the size of it. He boarded and the ship left the docks. Tony enjoyed going on the cruise.,joy - neutral - surprise - neutral - joy
"Ignacio wants to play a sport while he is in college. Since he was a good swimmer, he decides to try out for swim the team. Ignacio makes it onto the team easily. At the first swim meet, Ignacio wins second place! Ignacio won a silver medal.",neutral - approval - neutral
Danny bought a boat. His nearby marina was having a race. He decided to enter. Danny and his best friend manned the boat. They prepared for the start of the race.,neutral - approval - neutral - excitement
"At school, Mary received an assignment to write an essay about pandas. Luckily, Mary loved pandas, as was excited to get started. As soon as she got home, Mary booted up her computer and began. She wrote about all she knew and researched a little too! Mary couldn't wait to present her report.",neutral - excitement - neutral - excitement
Ellen dreamed of winning a prize for her roses. She planned to enter her special purple rose at the fair. She fertilized the rose bush and covered it each night. The roses grew more beautiful every day. Ellen ended up winning the prize.,neutral - admiration - excitement
"Jesse had just started fifth grade. He tried to make friends with the other boys, but he couldn't. He decided to make friends with the girls instead. They girls welcomed him into their social groups happily. Jesse was picked on by the other boys in school.",neutral - joy - neutral
"Tiffany was getting overwhelmed at work. While she liked her job, she longed for a break. One day, she tripped outside on uneven pavement. She broke her ankle and had to be off work for a couple months. She was in pain but happy to not have to go to work.",nervousness - neutral - sadness - neutral - joy
Gina misplaced her phone at her grandparents. It wasn't in the living room. She had been in the car before napping in the living room. She grabbed her dad's keys and ran outside. She found her phone in the car.,realization - neutral
"Alice was getting married in a few weeks. One night, her mother called and she forgot to call her back. Her mother left an angry message on her phone. She threatened not to come to the wedding. Alice called her mother and apologized profusely.",neutral - remorse
Ted loves to go to the movies. He sees almost everyone and votes at the Oscars. He has a big party for the Oscars and they all place bets. Ted almost always wins with the movies he chooses. Ted continues to watch several movies a week.,love - neutral - excitement - neutral
"Nya had been asked on a paintball trip with friends. She was nervous about going. But she went anyways, hoping to have fun. She shot paintballs at her friends and laughed the whole time. She loved it so much she planned a trip for the next week.",neutral - fear - amusement - love
"All of Javier's friends at school have smartphones. However, he still uses an old style flip phone. One day he decides to buy a smartphone too. At first he loves having the access to internet everywhere he goes. But then he misses his old phone.",neutral - love - neutral
Rachel decided to donate blood at the local blood drive. She was a little nervous because this was her first time. The next day Rachel received a call from the doctor that she saw. The doctor told her that he had bad news. Rachel broke down in tears.,neutral - nervousness - neutral - sadness
Ron was watching a high-speed chase on TV. The cop was chasing the bad guy through his neighborhood. It was terrifying! But then the cop caught the bad guy. Ron applauded the officer's performance.,neutral - fear - neutral - admiration
Sam loved his old belt. He matched it with everything. Unfortunately he gained too much weight. It became too small. Sam went on a diet.,love - admiration - sadness - realization - neutral
Larry bought a new motorcycle. He was excited to look cool. The first time he tried riding it he dropped it. He hurt his leg and had to go to the hospital. Larry became careful.,neutral - excitement - disappointment - caring
I went on a blind date a few days ago. She was cute and friendly. We were set up through a co worker. We seem to have some things in common. Soon we were boyfriend and girlfriend and thinking of marriage.,neutral - admiration - neutral - approval - neutral
Sammy's coffee grinder was broken. He needed something to crush up his coffee beans. He put his coffee beans in a plastic bag. He tried crushing them with a hammer. It worked for Sammy.,neutral
Last week Jared was driving to work. He had been partying hard the night before. He didn't get any sleep. Before he knew it his car was facing oncoming traffic. Jared swerved quickly and managed to avoid a collision.,neutral - joy - neutral - realization
"Joe grew a big batch of peas in his garden. He brought the peas inside and shelled them all. Then he cooked them up in a big pot. He added ham, bacon, and carrots to make thick pea soup. Joe thought about working in the garden as he ate the yummy soup.",neutral
"Aliza had a long lost ex-boyfriend she was bound to find. The problem was, he moved to a new state. She decided to use Facebook to find him. She found him, but he was married with kids. Aliza was sad, but she never contacted him again.",neutral - sadness
"Lina went to see how candy canes were made. She watched as the workers added dye to the hot candy. Then, they stretched it out to make it shiny. Finally, they shaped it into a cane and let it cool. Lina felt a new appreciation for candy canes.",joy - neutral - realization
"When I first moved into my house, I didn't know my neighbors. While mowing one day, I found a kickball in my yard. I felt this was the perfect opportunity to meet my neighbors. I grabbed the ball and went next door to return it. They were very friendly.",realization - neutral - approval - neutral - approval
"Bev had been studying very hard. She couldn't wait for the weekend. When it came, she slept in very late. Then she got up and went out to party. By Sunday night, Bev was exhausted again.",admiration - excitement - neutral
We went to Frank Pepe's pizza shop three weeks ago. The chain is quite famous in Connecticut. The chain recently opened in Boston. We went early to beat the crowd. We had a great pizza at Frank Pepe's pizza shop.,approval - realization - approval - neutral - admiration
"Bernice always wanted to travel to Africa. Bernice decided she would take a trip for her birthday next year. Bernice started to look at the price of airline tickets for the trip. In addition, Bernice looked up the price of hotels as well. Bernice decided to get an airplane ticket and reserve a room.",desire - excitement - neutral
"Jim made spinach cookies. He sold them for five dollars each. No one bought any. However, at the last minute a man wanted twenty. He was surprised but thankful.",neutral - approval - neutral - gratitude
Randy's friend gave him directions to his house. He was supposed to take a right after the white house. Randy continued to get lost. He backtracked continuously until he finally found it. Randy told his friend how relieved he was he found it.,neutral - fear - neutral
"I decided to go on a bike ride with my brother. We both headed out in the morning. We were having a lot of fun. Suddenly, he hit a rock and broke his wheel! I felt very badly for my brother.",approval - neutral - joy - surprise - sadness
"Anna went to the salon. She was getting her nails done for the first time. She was nervous, but the tech was friendly. He did her nails quickly and expertly. Anna felt very fashionable when she left the salon.",neutral - approval - admiration - neutral
"David and Sarah were friends during childhood. When they went to college, each moved to a different town. Sarah received an unexpected call from David on Friday. They had dinner and talked about their lives. Sarah was glad they were able to catch up.",neutral - surprise - neutral - joy
AJ and his mom were at the grocery store. Aj was looking at a cereal box and when he looked up his mom was gone. He immediately started to feel panic. Then his mom stepped out from behind a display of soup. AJ let out a sigh of relief.,neutral - fear - neutral - relief
Joe went to the junkyard to find treasures. He dug through a stack of old clothes. At the bottom was a vintage shirt with a rock band on it. Joe put the shirt on to try it out. Joe was happy the shirt fit.,neutral - joy
Priya decided to try a new restaurant. She drove to a new cafe that opened. Priya sat at a booth. She ordered a mimosa and a breakfast burrito. Priya thought her food was delicious.,neutral
"Karen was assigned a roommate her first year of college. One day, her roommate asked her to go to a nearby city for a concert. Karen agreed happily. The show was absolutely exhilarating. Karen became good friends with her roommate.",neutral - joy - excitement - neutral
"We took a family vacation to the beach last year. I spent a lot of time reading with my mom on the beach. One day while reading, I got stung by a horrible beach wasp. My arm swelled and was painful, I almost had to go to the hospital. Eventually I healed.",joy - love - fear - sadness - neutral
Donald was kind of the class clown. He wanted to be class president. So he figured if he acted like an idiot people would vote for him. He would get up and just yell and be foolish. Donald hoped this foolishness won him the election.,neutral - realization - annoyance - optimism
"Eddie and Angela hadn't been talking to each other for a long time. They lived in their house together like strangers. Finally, they sat down and agreed, it was time for a divorce. Eddie went to the courthouse and filed the paperwork. They were divorced a few months later.",neutral - approval - neutral
"Rachel adopted a cat over ten Years ago. Suddenly, the cat was acting more lethargic and losing weight. Concerned, Rachel took her cat to the vet. The vet told Rachel that her cat had developed cancer. The vet treated her cat's cancer the best they could.",realization - caring - neutral - caring
Jim is a new driver and has never been pulled over before. Yesterday he was pulled over for speeding. The officer explained to him why he was being given a ticket. Jim will have to work overtime to pay for the ticket. Jim is very upset.,neutral - disappointment
"I love avocados. I ate a sandwich covered in them. After I ate it, my mouth was itchy and tingly. I talked to my doctor about it later. It turned out I was allergic to avocados.",love - neutral - disgust - neutral - realization
David was an author that had trouble finding inspiration for his work. One day he had a dream of him being in a post apocalyptic world. He thought that this was destiny and began to write his thoughts. Eventually he had hundreds of pages written. David then had his manuscript published.,neutral
Boris was addicted to video games. His mother was concerned. She called a psychologist to get help. The psychologist tried to convince Boris to stop his addiction. Boris realized he was wasting his life.,neutral - caring - neutral - realization
A police officer came down with the flu today. He was unable to go into work as he could barely get out of bed. His wife spent time taking care of him and making sure he was okay. He made sure to drink enough and eat enough. The police officer eventually got better.,neutral - caring - neutral - optimism
"My friend nathan and his family went to the lake one summer. One day Nathan's dad left and didn't leave a lighter for his mom. Well his mom was very upset and made him walk to the store barefoot. Poor Nathan had to walk down a gravel road to bring his mom matches. When Nathan returned, his mom apologized for being so mean.",neutral - sadness - neutral
Gary was a brave child. One day he decided to climb over the fence in his backyard. His parents looked all over for him. They found him sitting on the swing at the park. Gary's parents were relieved to find him.,admiration - neutral - relief
"Timmy was caught with unpaid parking tickets. He didn't have enough money to pay for them. Instead he had to be arrested and jailed for two days. He lost his jobs for missing work. Timmy then had to find another job,",neutral - sadness - disappointment
"When I was younger, I went to summer camp. We had a lot of fun playing games with the counselors. My favorite thing to do was play cards. The camp counselors knew so many different card games. My favorite card game was poker.",realization - joy - love - neutral - joy
Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She hurried to get ready. She was worried that she would not have enough time. Amber was so hurried she left the list at home.,neutral - realization - neutral
Eve needed a new couch in her parlor. But she could not afford to buy one! Then she went to a secondhand store and found a great one. She had it delivered and set up in her living room. Eve thought the couch was very comfortable.,neutral - admiration - neutral - approval
Jason was terrified of spiders. He went to a therapist and discussed his fear. His therapist said he should confront his fear to overcome it. Jason's homework was to look for a spider in his basement. He found a very large spider there.,fear - neutral - realization - neutral
Linda began to have problems with a coworker at her job. The coworker had started bossing her around at work. The coworker even talked behind her back. Linda went to her boss with the issue and the boss mediated them. Linda and the coworker ended up being best friends.,realization - neutral
Sara wanted her kids to have a great Christmas. She saved all year and started her shopping in November. She shopped deals and spent all her savings. She spent two days wrapping dozens of presents. All of the presents were wrapped and stored for the holidays.,desire - neutral
"Megan has been struggling with a drug habit for years. She hit rock bottom when she lost her family and kids. Her distant family decided to stage an intervention. After the event, she got into a rehab facility. She was able to get off drugs after some time.",neutral - sadness - neutral - approval
"Tyler has been unemployed for Years. He has spent the last few months diligently applying for work. However, all of his applications are rejected. The rejections contribute to Tyler's feelings of desperation. He realizes he might have to apply for public assistance.",sadness - admiration - disapproval - sadness - realization
Bobby was having a birthday party. His friends bought him a huge cake. A woman jumped out of the cake. Bobby was surprised and amused. Bobby had a good party.,neutral - surprise - joy
It was the last day of our vacation. We were eating lunch on the patio of the hotel. We laughed and smiled because it was a great vacation. Then we packed our bags and drove to the airport. We want to revisit someday.,excitement - approval - joy - neutral - desire
Mother asked the children to help fold laundry. The children took the clean clothes into the living room. They dumped the clothes on the floor. They folded the clothes neatly into piles. They then put their clothes up neatly.,neutral
Timmy loves watching cartoons. His parents don't let him watch unless he does his chores. Today's chore is to clean his room. Timmy's room is a mess. Timmy spent all day cleaning so he could watch tv.,love - neutral - annoyance - neutral
My daughter had her baby shower in our Boston home. She invited friends and family in the area. Her old college roommate lives in Hawaii. She decided to surprise my daughter by flying 4800 miles. My daughter was excited.,neutral - surprise - excitement
Pam's house was where the party was. Everyone bought gifts. Pam bought a cake. Everyone danced and had fun! Pam was a good hostess.,neutral - joy - admiration
Ellen always hated school. The kids made fun of her every day. They called her smelly Elly. She decided to start taking baths. Ellen was appalled.,neutral - amusement - neutral - fear
"Jim got his first credit card in college. He didn't have a job so he bought everything on his card. After he graduated he amounted a $10,000 debt. Jim realized that he was foolish to spend so much money. Jim decided to devise a plan for repayment.",neutral - realization - neutral
Tim was entering a baking contest. He decided to make his famous donuts. He made a big batch and entered them into the contest. The judges thought they were delicious. Tim won the baking contest.,neutral - disgust - neutral
"My two year old son refused to wear training pants. He always begged to wear a diaper. One day, out of frustration, I let him remain naked. He went to the potty and used it when I wasn't looking. Now I don't try to make him wear training pants.",disapproval - neutral - anger - neutral
Holly was glad to be safely inside her house as the storm raged. She was watching the storm as she heard a loud crack. Lightning had hit a tree beside the house. She stared as she watched it fall. She was relieved that it didn't hit anything.,joy - neutral - relief
"Jill saw an infomercial for unbreakable glass cups. She was amazed and ordered them. When Jill received the cups, she wanted to test them. She dropped one on her hardwood floor. It broke and Jill felt dumb for believing the hype.",neutral - surprise - neutral - disappointment
"Addie was working at the mall at Hollister when a strange man came in. Before she knew it, Addie looked behind her and saw stolen clothes. Addie got scared and tried to chase the man out. Luckily guards came and arrested him. Addie was relieved and took deep breaths to calm herself.",realization - fear - neutral - relief
"Sean was going for a job interview. He arrived at the business and asked for the manager. The manager took him to the back and interviewed him. Then, the manager showed him around and explained the job. The manager wanted Sean to understand everything.",neutral
"Fred made a bet with Sam over who could lose more weight in a month. Fred really wanted to win the bet, which was for $100. Fred worked out daily, avoided fast food, and skipped dinner. At the end of the month Fred was feeling confident he would win. Fred ended up winning the bet, and the $100.",neutral - desire - neutral - optimism - neutral
"John went skydiving for the first time. He went with an instructor on a plane into the air. He screamed when they jumped. John was terribly afraid of heights and passed out. When he woke up, he had already landed.",neutral - fear - neutral
