story,overall_quality_rating,ATD,narraive_arc_answer,common_sense_answer,coherency_score,fluency_score,interest_score,plot_twist_answer,share_score,humanlike_score,NLI,Emo,EmoArc,Human
Jill was playing video games with her sister. Jill was angry that she was losing every game. Jill took her game controller and threw it at the TV. The TV screen cracked right down the center. Jill and her sister could not play any more videogames.,1.8,1,1.0,1.0,3.8,2.4,2.0,0.8,0.8,0.4,0,0,0,1.0
Nila's mom was diagnosed with stage four cancer. Nila knew her mom did not have a long time to live. Nila made sure to provide her mom with a good life until her death. Nila fostered many good memories with her mom and they were happy. Nila loved her mom.,3.0,1,0.8,1.0,3.2,3.2,3.6,0.6,1.6,0.4,0,0,0,1.0
Lita wanted to watch her favorite show on television. Her kids insisted that she sit down to watch it with them. Lita told them that she had chores to do. Her kids dragged her laundry basket to the living room. Lita folded the laundry while watching television.,1.8,1,1.0,0.8,3.2,2.8,2.0,0.6,0.4,0.8,0,0,0,1.0
"It snowed so hard that school was called off for the day. The boys put on their coats, hats, gloves and boots and went outside. They built a tall snowman and a snow fort. They had a snowball fight. They went inside to roast marshmallows.",2.8,1,0.4,1.0,3.2,2.6,2.4,0.4,1.2,0.6,0,0,0,1.0
Neil was backpacking Europe. He had just arrived in Dover. He loved how friendly the people were! He also loved their delicious food. Neil was having a great time.,3.0,1,0.4,1.0,2.2,1.8,2.6,0.4,1.2,0.8,0,0,0,1.0
Dave gathered up all of his beach gear. He took the day off just so he could spend it on the beach. When he went outside he discovered it was much to dark. The sky was full of black storm clouds. Dave was so disappointed!,1.8,1,0.8,0.8,3.4,2.2,2.0,0.6,0.0,0.2,0,0,0,1.0
Jesus spent the day polishing the furniture. As night approached he surveyed the work he'd done. Everything looked shiny and new. Jesus invited all of his friends over for a party that evening. They said his furniture looked nice.,2.8,1,0.8,0.8,2.8,2.8,3.8,0.6,1.8,0.8,0,0,0,1.0
A new Chick-Fil-A just opened up and I couldn't wait to try it. The line was out the door. I waited for a half hour just to order something. I ordered a spicy chicken sandwich. Right then I decided this was my new favorite food.,2.4,1,1.0,1.0,3.0,2.4,2.4,0.8,1.2,0.4,0,0,0,1.0
Frank did not want to do his homework. He wanted to play video games instead. Frank's parents told him to do his homework first. Frank threw a tantrum and got punished. Frank lost his video games for a week.,2.6,1,0.8,1.0,3.4,3.4,3.2,1.0,1.6,0.4,0,0,0,1.0
"It was Friday night so I decided to rent a movie. I headed down to a Redbox to get one. After taking an hour to decide I finally picked The Departed. I got home and made some snacks, then went to put the movie in. It was the best movie I had seen in a long time.",3.4,1,1.0,1.0,2.6,2.4,2.6,0.6,1.4,0.8,0,0,0,1.0
Tia wanted to make something to sell at the craft fair. She decided to make homemade soap. She made glycerin soap in a big pot on her kitchen stove. Then she pressed flower blossoms into the centers of her bars. Tia then made pretty labels to put on each bar.,3.0,1,0.6,0.8,2.2,3.2,3.4,0.8,1.8,0.6,0,0,0,1.0
"Grace always loved playing tricks on the teacher. Her favorite trick was to hide all of the chalk from the teacher. One day as she was hiding the chalk, the teacher caught Grace. She was suspended from school for two weeks. Grace decided to stop playing tricks at school.",3.0,1,0.8,0.8,3.4,3.2,3.8,1.0,2.0,0.6,0,0,0,1.0
"One year, Matt was training for a half marathon. Near the time of the race, he slipped on a run and damaged his knee. Matt missed the race and required an extensive rehab. As soon as he could, Matt was back to training. His training paid off at a marathon later that year.",3.6,1,1.0,1.0,3.6,3.0,3.6,1.0,2.0,1.0,0,0,0,1.0
Six year old Bobby wanted a cat very badly. His parents didn't say no but they weren't excited about it either. One morning a friendly young cat showed up at their door. Bobby was very excited when his mom said it could come inside. Bobby was overjoyed when his mother said the cat could stay.,3.6,1,1.0,0.8,3.6,3.2,3.6,1.0,2.0,0.8,0,0,0,1.0
"Holly asked her brother to put suntan lotion on her back. He took his time and applied it very carefully. Later that day, Holly wondered why people were laughing. She later realized her brother had made a design with the lotion. Holly yelled at her brother to get back at him.",3.2,1,1.0,0.8,3.8,2.6,2.8,1.0,1.8,1.0,0,0,0,1.0
I always try to go to bed on time. Last night I was hooked watching a new tv show. Before I knew it it was really late. I should have been asleep hours ago. The television show had hooked me in.,2.8,1,0.8,1.0,3.2,2.4,2.8,0.6,1.0,1.0,0,0,0,1.0
I hired a social media manager. I thought they would drive more traffic to my website. They spent most of their time reading other people's posts. My traffic actually went down in the following month. I decided to fire my new social media manager.,3.4,1,0.8,1.0,3.2,3.2,2.4,0.8,1.4,1.0,0,0,0,1.0
"Solomon didn't like his first name. He thought that it was too old-fashioned. At a job interview, the interviewer praised his name. Solomon suspected that his being hired was related to his unique name. Solomon thought his name might not be so bad after all.",3.0,1,1.0,1.0,3.8,3.0,2.4,0.6,1.4,1.0,0,0,0,1.0
"Bob and Jim were playing ball in the house one day. They knocked over the vase and it broke into many pieces. They were afraid their mom would get angry at them. They found some glue, and carefully glued the vase back together. The glue held the vase together and their mom never found out.",2.8,1,1.0,0.6,3.8,3.2,3.6,0.8,1.0,1.0,0,0,0,1.0
"I was walking to the store recently. As I was passing an exit, I felt cold, hard steel on my arm. I was shocked that I was being hit by a car! The driver was very apologetic after he saw I was hit. I told them it was okay and then walked away.",1.4,1,0.8,0.4,2.4,2.4,3.0,1.0,1.2,0.8,0,0,0,1.0
"Emily took her child to the zoo. The saw many animals, including lions. Her child was very afraid of the lions. He started to scream and cry. Emily picked up her child to comfort him.",2.0,1,0.6,1.0,2.8,2.4,2.4,0.6,1.0,1.0,0,0,0,1.0
Yolanda hates roller coasters. Katie does not understand why. She decided to force Yolanda to ride one with her. Yolanda vomited all over Katie. Katie regretted forcing Yolanda to go on the ride.,2.4,1,0.8,1.0,2.6,2.2,2.4,0.4,1.0,0.8,0,0,0,1.0
"My friend Sharon was nervous yesterday. She found out her company wanted her to retire. Although she has a good pension, she was still nervous. I helped her rewrite her resume, preparing for a job search. Sharon is now looking forward to a new chapter in her life.",3.4,1,0.8,1.0,3.0,3.2,3.4,0.6,1.4,1.0,0,0,0,1.0
It was my first time skiing and I was not doing well. I skied directly in the path of another skier. We collided and both fell to the ground. The other skier told me his name was Jack and it was nice to meet me. I thought Jack was very polite.,3.2,1,0.4,0.8,3.6,2.8,2.8,0.6,0.8,0.8,0,0,0,1.0
"Kelly went down to the ocean to relax. She immediately went and put her feet in. As she put her feet in however, the wave captured her. Her clothes got soaked. Kelly went home to change into dry clothes.",3.0,1,0.8,0.6,3.4,3.0,2.2,0.4,0.6,1.0,0,0,0,1.0
Jaime wanted to ask jack to go to the school dance with her. After school she waited for jack outside of the front door. When jack was exiting he was walking hand in hand with another girl. Jaime froze unable to speak. Jaime then told him that they were through.,3.4,1,0.8,1.0,3.0,2.4,2.8,0.8,1.2,0.8,0,0,0,1.0
I was looking for a nice painting for my living room. Hence yesterday I went out looking. I finally found a beautiful one I loved. The painting was of a waterfall. I purchased it and brought it home.,2.2,1,1.0,1.0,4.0,3.0,2.0,0.2,1.0,0.8,0,0,0,1.0
A boy Jack had been asking his parents to get a puppy for months. After all the time he asked they finally gave in and said yes. Jack spent about thirty minutes looking online for a puppy. He found one in the area that he lived. Jack then showed the online puppy and pleaded with them to get it.,3.4,1,0.6,1.0,3.4,2.2,2.0,0.2,1.0,0.6,0,0,0,1.0
Renee was inspired by the music of Eddie Van Halen. She decided to learn to play guitar. She bought an electric guitar and an amp. She hated pressing the strings with her fingers. Renee decided she would have to get used to it.,1.8,1,0.6,1.0,3.2,3.2,1.8,0.0,1.0,1.0,0,0,0,1.0
Ora had been dared not to shower in order to join a sorority. She couldn't imagine going without clean water for a week! Then she thought of a loophole. They hadn't said Ora couldn't take a bath! Ora took a bath.,3.0,1,1.0,0.8,2.8,2.0,2.4,0.6,0.8,0.4,0,0,0,1.0
Amber had been working a lot lately. It was stressing her out a great deal due to other personal issues. She had been dying for a day off to relax. On her day off she hung out with boyfriend Rob They relaxed all day and Amber felt much better.,2.4,1,1.0,1.0,3.8,1.4,2.6,0.4,1.4,0.6,0,0,0,1.0
The kids went to the graveyard. The came upon a grave with chains. Some of the chains had been broken. They became scared and ran. They didn't want to go there again.,1.0,1,0.8,0.6,2.8,1.8,1.2,0.4,0.4,0.2,0,0,0,1.0
"In the autumn, Susan planted some flower seeds in the backyard. Over the course of the winter, she had forgotten about planting them. Once April came, little flowers appeared all over the backyard. To protect the new garden from her dog, she decided to fence it in. Soon, Susan had a beautiful garden.",3.6,1,0.6,0.6,1.4,3.0,2.4,0.6,1.2,0.8,0,0,0,1.0
Sue's cat was nowhere to be seen. Sue searched for her cat for hours until she heard purring outside. Her cat was stuck in the tree. Sue called up the fire department. Suzi's cat was saved.,3.0,1,1.0,0.4,3.2,2.8,3.0,0.8,1.6,0.6,0,0,0,1.0
"Today we went on a plane ride. The plane was very big, I was scared. When we got on the plane Mom told me it will be fun. The plane made a lot of loud noises but it wasn't too bad. I am no longer afraid of planes.",2.4,1,1.0,1.0,2.8,3.8,2.4,0.4,0.8,0.6,0,0,0,1.0
Ariel is our 5 month old baby. She had woke up the other morning extremely fussy. We couldn't figure out what was wrong at first. We then seen a fresh tooth popping through her gum line. We had a week of hell as her tooth came in.,2.6,1,1.0,0.8,2.2,3.2,3.4,1.0,1.6,0.8,0,0,0,1.0
"Earl is a grandfather for the first time today! His daughter just had her first baby and she had a girl. Earl has secretly been saving money for his new granddaughter. He surprise his daughter with a new savings account for her child. His daughter now adds to it, for her daughter's college.",2.4,1,0.8,1.0,4.0,3.0,3.6,0.6,1.6,1.0,0,0,0,1.0
"Gina was at her friend Ruth's house. A girl she didn't know named Jane showed up. Jane was rude, and stuck up. Gina later discovered Jane was her enemy Joe's sister. So now she avoids Jane all the time.",2.6,1,1.0,1.0,3.4,2.6,3.4,1.0,1.8,0.6,0,0,0,1.0
Lilly made cranberry sauce for Thanksgiving. It was her first time meeting her boyfriend's parents. The meal was going well until she took a bite of what she had made. She realized she had forgotten to put sugar in it. The cranberry sauce was very sour.,3.2,1,0.6,1.0,3.6,3.0,3.8,0.8,2.0,0.8,0,0,0,1.0
